cartodb_id,the_geom,url,name,line,median_income
559,0101000020E61000007781AF1C837752C015B6A7029F6D4440,http://www.mta.info/nyct/service/,700 Pelham Parkway South,2-5,29531.000000000000
560,0101000020E610000016B769CA157652C0C2D3A53F0E574440,http://www.mta.info/nyct/service/,93-18 Liberty Avenue,A-S,58456.000000000000
561,0101000020E6100000BD5DCC88D27C52C03CEB8BB3FC534440,http://www.mta.info/nyct/service/,692 Parkside Avenue (To Flatbush Only),2-5,42458.000000000000
562,0101000020E6100000AC684CAAB67C52C05F4370F103524440,http://www.mta.info/nyct/service/,1842 Nostrand Avenue (To Flatbush Only),2-5,51050.000000000000
563,0101000020E61000003E62F7FFBD7052C0F88DF1C4BD4C4440,http://www.mta.info/nyct/service/,25-04 Brookhaven Avenue,A,41554.000000000000
564,0101000020E6100000030A06FBAF7E52C00A3233EA34554440,http://www.mta.info/nyct/service/,902 8 Avenue,F,112824.000000000000
565,0101000020E6100000E306E5E26F7752C0476EB43B7E584440,http://www.mta.info/nyct/service/,75-06 Jamaica Avenue,J-Z,53355.000000000000
566,0101000020E610000018793AF0E57952C0080D627E19594440,http://www.mta.info/nyct/service/,9-91 Wyckoff Avenue (To Manhattan Only),L,46121.000000000000
567,0101000020E61000004A8BF0AFC87C52C0F1084B001C574440,http://www.mta.info/nyct/service/,1289 Fulton Street (To Manhattan Only),A-C,50093.000000000000
568,0101000020E61000009A69EBEBF97852C026587B42895F4440,http://www.mta.info/nyct/service/,40-15 75 Street,7-E-F-M-R,50139.000000000000
569,0101000020E61000009211DD17D07A52C0CFEB58AD5F674440,http://www.mta.info/nyct/service/,250 Brook Avenue (To Manhattan Only),6,27608.000000000000
570,0101000020E6100000434B613AAD7F52C0D630315675514440,http://www.mta.info/nyct/service/,4910 New Utrecht Avenue,D,30000.000000000000
571,0101000020E61000009B124391EE7F52C0CD8300CD334F4440,http://www.mta.info/nyct/service/,7102 16 Avenue,D,56563.000000000000
572,0101000020E61000003A2686FF4E7D52C0D11B092EB75A4440,http://www.mta.info/nyct/service/,170 Marcy Avenue (To Manhattan Only),J-M-Z,17189.0000000000000000
573,0101000020E61000008249DD701F8052C07B793911D75E4440,http://www.mta.info/nyct/service/,103 8 Avenue,A-C-E-L,67578.000000000000
574,0101000020E610000052DFCA7ABC7D52C07952598574574440,http://www.mta.info/nyct/service/,957 Fulton Street (To Manhattan Only),A-C,81885.000000000000
