X,Y,name,line,url
-73.967636998470894,40.762641332194342,131 East 60 Street,4-5-6-6 Express-N-Q-R,http://www.mta.info/nyct/service/
-73.947506333507633,40.633034617344315,2137 Nostrand Avenue,2-5,http://www.mta.info/nyct/service/
-73.974762998951348,40.680675334318884,70 6 Avenue (To Manhattan Only),2-3-4,http://www.mta.info/nyct/service/
-73.947928001069471,40.633251333832597,Nostrand Ave & Flatbush Ave At Nw Corner,2-5,http://www.mta.info/nyct/service/
-73.947506000403521,40.632858333386402,Nostrand Ave & Flatbush Ave At Ne Corner,2-5,http://www.mta.info/nyct/service/
-73.949416001729261,40.650663333772883,Nostrand Ave & Church Ave At Se Corner (To Manhattan Only),2-5,http://www.mta.info/nyct/service/
-73.950473998731056,40.668128334571939,Nostrand Ave & President St At Ne Corner,2-5,http://www.mta.info/nyct/service/
-73.950388999322797,40.669804333203992,Nostrand Ave & Eastern Pkwy At Se Corner,3-4,http://www.mta.info/nyct/service/
-73.949422999540943,40.695439332414786,Marcy Ave & Myrtle Ave At Nw Corner,G,http://www.mta.info/nyct/service/
-73.93378899753256,40.669027332028989,Schenectady Ave & Eastern Pkwy At Ne Corner,3-4,http://www.mta.info/nyct/service/
-73.931028842241673,40.66868046959047,Utica Ave & Eastern Pkwy At Se Corner,3-4,http://www.mta.info/nyct/service/
-73.935452577865149,40.696851934073273,Broadway & Myrtle Ave At Nw Corner,J-Z,http://www.mta.info/nyct/service/
-73.95768699987525,40.717719333631457,Bedford Ave & N 7th St At Se Corner,L,http://www.mta.info/nyct/service/
-73.949912999994112,40.699966332010959,Union Ave & Flushing Ave At Ne Corner (To Queens Only),G,http://www.mta.info/nyct/service/
-73.95234399890721,40.706627332271623,Hewes St & Broadway At Ne Corner,J-M,http://www.mta.info/nyct/service/
-73.951444998039378,40.713768333952203,Union Ave & Metropolitan Ave At Se Corner,G-L,http://www.mta.info/nyct/service/
-73.946687999396232,40.703313334187023,Lorimer St & Broadway At Sw Corner,J-M,http://www.mta.info/nyct/service/
-73.942235147393845,40.700595230655878,Flushing Ave & Broadway At Se Corner,J-M,http://www.mta.info/nyct/service/
-73.951905999506579,40.725478332941847,Manhattan Ave & Norman Ave At Nw Corner,G,http://www.mta.info/nyct/service/
-73.950928001931288,40.723810332109579,Manhattan Ave & Nassau Ave At Nw Corner,G,http://www.mta.info/nyct/service/
-73.944248000010788,40.714449334212553,Graham Ave & Metropolitan Ave At Se Corner (To Canarsie Only),L,http://www.mta.info/nyct/service/
-73.940891999967249,40.712035332785035,Grand St & Bushwick Ave At Ne Corner (To Canarsie Only),L,http://www.mta.info/nyct/service/
-73.931988999568503,40.706234334594555,Morgan Ave & Harrison Pl At Sw Corner,L,http://www.mta.info/nyct/service/
-73.95441499879658,40.732270333881431,Manhattan Ave & India St At Se Corner,G,http://www.mta.info/nyct/service/
-73.922663001472287,40.664932333566156,Rutland Rd & E. 98th St At Ne Corner,3-4,http://www.mta.info/nyct/service/
-73.915344998206081,40.661675333505201,Saratoga Ave & Livonia Ave At Ne Corner,3-4,http://www.mta.info/nyct/service/
-73.902498001290468,40.645545333599429,Glenwood Rd & Rockaway Pkwy At Nw Corner,L,http://www.mta.info/nyct/service/
-73.921516929973336,40.678714296738526,Ralph Ave & Fulton St At Se Corner,A-C,http://www.mta.info/nyct/service/
-73.913768683053291,40.678592624337085,Hopkinson Ave & Fulton St At Nw Corner,A-C,http://www.mta.info/nyct/service/
-73.921564999915546,40.689068331644272,Palmetto St & Broadway At Sw Corner,J-Z,http://www.mta.info/nyct/service/
-73.917295000013596,40.686933332689847,Jefferson Ave & Broadway At Ne Corner,J,http://www.mta.info/nyct/service/
-73.922948000316339,40.690141332404977,Linden St & Broadway At Nw Corner,J-Z,http://www.mta.info/nyct/service/
-73.902805467018538,40.675698026264328,Snediker Ave & New York Ave At Sw Corner,L,http://www.mta.info/nyct/service/
-73.899585999101774,40.676769333502293,Alabama Av & Fulton St At Se Corner,J,http://www.mta.info/nyct/service/
-73.896668999410807,40.674239332263262,Pennsylvania Ave & Liberty Ave At Sw Corner,A-C,http://www.mta.info/nyct/service/
-73.904679038734386,40.68878759881985,Lirr Bay Ridge Divide & Wilson Ave At Nw Corner,L,http://www.mta.info/nyct/service/
-73.890153000284158,40.672506334154349,Van Siclen Ave & Pitkin Ave At Se Corner,A-C,http://www.mta.info/nyct/service/
-73.88328999675845,40.666281332288065,Ashford St & Livonia Av At Sw Corner,3-4,http://www.mta.info/nyct/service/
-73.880664997112973,40.674001331938868,Shepherd Ave & Pitkin Ave At Se Corner,A-C,http://www.mta.info/nyct/service/
-73.872086997693586,40.675268332463155,Euclid Ave & Pitkin Ave At Sw Corner,A-C-S,http://www.mta.info/nyct/service/
-73.872085998411592,40.67548833401942,Euclid Ave & Pitkin Ave At Nw Corner,A-C-S,http://www.mta.info/nyct/service/
-73.922119000072101,40.706014333819247,Starr St & Wyckoff Ave At Se Corner,L,http://www.mta.info/nyct/service/
-73.919272999670113,40.704153332098763,Dekalb Ave & Wycoff Ave At Se Corner,L,http://www.mta.info/nyct/service/
-73.917958999052473,40.703342331754556,Stanhope St & Wycoff Ave At Sw Corner,L,http://www.mta.info/nyct/service/
-73.917605999939326,40.703461332274991,Stanhope St & Wycoff Ave At Ne Corner,L,http://www.mta.info/nyct/service/
-73.923723001538974,40.707242334168583,Jefferson St & Wyckoff Ave At Nw Corner,L,http://www.mta.info/nyct/service/
-73.921930997956807,40.706216333539494,Starr St & Wyckoff Ave At Ne Corner,L,http://www.mta.info/nyct/service/
-73.902208000334127,40.704816332209028,Forest Ave & Myrtle Ave At Nw Corner,M,http://www.mta.info/nyct/service/
-73.895559099373031,40.706115381184901,62nd St & 67th Ave At Se Corner,M,http://www.mta.info/nyct/service/
-73.882700999113609,40.742945334065801,Britton Ave & Broadway At Nw Corner,E-M-R,http://www.mta.info/nyct/service/
